wall_time,state,segment,yah_mag_x_lsb,yah_mag_y_lsb,yah_mag_z_lsb,neo_mag_x_ut,neo_mag_y_ut,neo_mag_z_ut
1789591966.2864087,STATIC_4,4,-5000.0,4062.0,3650.0,-30.0537,-21.2402,-35.791
1789591966.393159,STATIC_4,4,-5004.0,4073.0,3567.0,-30.1514,-21.1914,-35.6201
1789591966.49316,STATIC_4,4,-5027.0,4067.0,3601.0,-30.0781,-21.2891,-36.0107
1789591966.5932965,STATIC_4,4,-5019.0,4082.0,3700.0,-30.0781,-21.1792,-35.791
1789591966.6932998,STATIC_4,4,-5015.0,4069.0,3705.0,-30.127,-21.3013,-36.0107
1789591966.7933936,STATIC_4,4,-5013.0,4068.0,3682.0,-30.0781,-21.1792,-35.8887
1789591966.912038,STATIC_4,4,-5019.0,4075.0,3639.0,-30.0537,-21.3257,-36.0352
1789591967.012249,STATIC_4,4,-5021.0,4061.0,3709.0,-30.127,-21.106,-35.8643
1789591967.1123118,STATIC_4,4,-5013.0,4084.0,3620.0,-30.0293,-21.3623,-35.8398
1789591967.2123654,STATIC_4,4,-5018.0,4066.0,3633.0,-30.1025,-21.3501,-35.9863
1789591967.3160152,STATIC_4,4,-5012.0,4068.0,3652.0,-30.0781,-21.3379,-36.0352
1789591972.520637,STATIC_5,5,-6797.0,1590.0,3731.0,-41.8213,-1.61743,-33.0078
1789591972.621377,STATIC_5,5,-6800.0,1624.0,3736.0,-41.9678,-1.64032,-32.6904
1789591972.721378,STATIC_5,5,-6789.0,1626.0,3746.0,-41.9922,-1.67084,-32.9102
1789591972.8330526,STATIC_5,5,-6788.0,1609.0,3736.0,-41.9922,-1.57776,-32.6416
1789591972.9333487,STATIC_5,5,-6799.0,1622.0,3729.0,-41.9678,-1.75934,-32.9834
1789591973.0344126,STATIC_5,5,-6788.0,1613.0,3739.0,-41.9678,-1.56403,-32.7881
1789591973.1345804,STATIC_5,5,-6794.0,1606.0,3727.0,-41.9434,-1.74255,-32.8857
1789591973.234834,STATIC_5,5,-6809.0,1619.0,3746.0,-42.0166,-1.56021,-32.7637
1789591973.3353984,STATIC_5,5,-6796.0,1602.0,3724.0,-41.8701,-1.75629,-33.1543
1789591973.4361796,STATIC_5,5,-6788.0,1611.0,3732.0,-41.9678,-1.51978,-32.4951
1789591973.5384336,STATIC_5,5,-6810.0,1628.0,3712.0,-41.9678,-1.86157,-33.0078
1789591973.6393366,STATIC_5,5,-6786.0,1610.0,3738.0,-41.9434,-1.74255,-32.9102
1789591973.7448952,STATIC_5,5,-6788.0,1598.0,3733.0,-41.9678,-1.75934,-33.0322
1789591973.845012,STATIC_5,5,-6793.0,1609.0,3705.0,-41.9189,-1.70288,-33.0322
1789591973.9575572,STATIC_5,5,-6811.0,1615.0,3733.0,-41.9434,-1.75323,-32.9102
1789591974.0583227,STATIC_5,5,-6795.0,1620.0,3723.0,-42.0166,-1.86157,-33.1543
1789591974.158346,STATIC_5,5,-6798.0,1626.0,3751.0,-41.8701,-1.80664,-33.0322
1789591974.2769501,STATIC_5,5,-6791.0,1609.0,3753.0,-41.9922,-1.71509,-32.9102
1789591974.377326,STATIC_5,5,-6819.0,1635.0,3746.0,-41.9189,-1.72424,-32.959
1789591974.477334,STATIC_5,5,-6793.0,1618.0,3722.0,-41.9434,-1.50681,-32.666
1789591974.5773485,STATIC_5,5,-6801.0,1623.0,3729.0,-41.9678,-1.71051,-32.9834
1789591974.6862144,STATIC_5,5,-6811.0,1614.0,3680.0,-41.9434,-1.57318,-32.7881
1789591974.78622,STATIC_5,5,-6795.0,1635.0,3670.0,-42.0166,-1.67084,-32.7393
1789591974.8862307,STATIC_5,5,-6794.0,1618.0,3664.0,-42.041,-1.57776,-32.7393
1789591974.9862661,STATIC_5,5,-6803.0,1620.0,3723.0,-41.9434,-1.68915,-32.9102
1789591975.0952866,STATIC_5,5,-6797.0,1613.0,3663.0,-41.9678,-1.66626,-32.7637
1789591975.1963832,STATIC_5,5,-6815.0,1624.0,3717.0,-41.8945,-1.70288,-32.959
1789591975.296538,STATIC_5,5,-6799.0,1611.0,3712.0,-41.9922,-1.66321,-32.959
1789591975.414645,STATIC_5,5,-6798.0,1604.0,3722.0,-41.9434,-1.70593,-32.959
1789591975.5153663,STATIC_5,5,-6785.0,1608.0,3718.0,-41.8945,-1.66321,-33.0078
1789591975.6166155,STATIC_5,5,-6804.0,1610.0,3727.0,-41.9434,-1.74713,-32.7393
1789591975.7327669,STATIC_5,5,-6791.0,1606.0,3728.0,-41.9434,-1.77612,-32.959
1789591975.8333461,STATIC_5,5,-6807.0,1611.0,3734.0,-41.9434,-1.72882,-32.8857
1789591975.9334207,STATIC_5,5,-6794.0,1605.0,3712.0,-41.9678,-1.75934,-33.0078
1789591976.0343897,STATIC_5,5,-6804.0,1604.0,3710.0,-41.9434,-1.6983,-32.666
1789591976.1344035,STATIC_5,5,-6798.0,1615.0,3742.0,-41.9678,-1.6037,-32.7393
1789591976.2347574,STATIC_5,5,-6814.0,1618.0,3746.0,-41.9922,-1.6449,-32.959
1789591976.3354795,STATIC_5,5,-6791.0,1620.0,3716.0,-41.8945,-1.59149,-32.7637
1789591976.4460218,STATIC_5,5,-6796.0,1631.0,3695.0,-41.9922,-1.6571,-32.8369
1789591976.5522463,STATIC_5,5,-6812.0,1616.0,3718.0,-41.8945,-1.8219,-33.0322
1789591976.653345,STATIC_5,5,-6801.0,1628.0,3709.0,-41.9434,-1.6983,-32.7881
1789591976.7718298,STATIC_5,5,-6801.0,1613.0,3708.0,-41.9434,-1.77307,-32.9834
1789591976.8723924,STATIC_5,5,-6792.0,1619.0,3690.0,-41.8945,-1.78375,-32.9102
1789591976.97912,STATIC_5,5,-6807.0,1625.0,3717.0,-42.0166,-1.76392,-32.8369
1789591977.0862155,STATIC_5,5,-6817.0,1614.0,3730.0,-41.8945,-1.89972,-33.1299
