t_s,map_x,map_y,map_yaw,map_vx,local_x,local_y,local_yaw,local_vx,esc_x,esc_y,esc_yaw,esc_vx,gnss_vx,gnss_vy,gnss_vz,gnss_speed_xy,cmd_v,cmd_w,drive_target_mps,drive_actual_mps,actual_erpm,steer_rad,mux_source,estop,ready,feedback,autonomy_gate,heading_valid,yaw_inertial,yaw_neo3,distance_remaining
17.658856712999295,132.53397893998,105.99669905886881,-1.4830183822636525,0.13203608862136185,5.8616030179893395,-3.5100983061487327,-1.300879479208144,0.48079823580429853,5.087425038991225,-4.138451549887797,-1.5642623054886688,0.5107904292368836,0.396,0.027,-0.055,0.39691938728159903,0.470964252948761,-0.06759708374738693,0.470964252948761,0.5107904292368836,2285.0,0.12776810780036302,NAV2,False,True,True,True,,,0.049082082238217445,9.705451965332031
17.69895421899946,132.53397893998,105.99669905886881,-1.4830183822636525,0.13203608862136185,5.866434118883525,-3.527623295669702,-1.3046536345390625,0.4897305363614187,5.087502942917842,-4.1584254102508105,-1.5677733998275263,0.5107904292368836,0.511,0.029,0.047,0.5118222347651575,0.470964252948761,-0.06759708374738693,0.470964252948761,0.5107904292368836,2222.0,0.12776810780036302,NAV2,False,True,True,True,,,0.04558032418150393,9.705451965332031
17.73901472899979,132.58267606385476,105.99073548965241,-1.488725310365865,0.13453110644970162,5.8709745334649766,-3.5443318027213357,-1.3081357659742223,0.49339832341122825,5.087509583096384,-4.178957869047895,-1.571371174250221,0.49673405701642787,0.511,0.029,0.047,0.5118222347651575,0.47056689858436584,-0.06580859422683716,0.47056689858436584,0.49673405701642787,2222.0,0.1272114175821469,NAV2,False,True,True,True,,,0.040538933211566965,9.705451965332031
17.779125880999345,132.58267606385476,105.99073548965241,-1.488725310365865,0.13453110644970162,5.875363789875872,-3.5606790164697695,-1.310418476587747,0.49628195694476496,5.087445614489611,-4.199008442687977,-1.5748547886611617,0.49673405701642787,0.156,0.158,-0.002,0.2220360331117452,0.47056689858436584,-0.06580859422683716,0.47056689858436584,0.49673405701642787,2162.0,0.12581957568132313,NAV2,False,True,True,True,,,0.03684230241315123,9.705451965332031
17.820163014999707,132.58267606385476,105.99073548965241,-1.488725310365865,0.13453110644970162,5.88377577259003,-3.5925169047704015,-1.31573242160123,0.4964304019698361,5.0873205398290775,-4.218205617033918,-1.5781257244803046,0.49673405701642787,0.156,0.158,-0.002,0.2220360331117452,0.47056689858436584,-0.06580859422683716,0.47056689858436584,0.49673405701642787,2133.0,0.12331435334406717,NAV2,False,True,True,True,,,0.03156564333019079,9.705451965332031
17.860377321999295,132.6335533060004,105.98779544209002,-1.4908142096258652,0.1350429822939951,5.887763565028069,-3.607908808938668,-1.3193412201678703,0.4943326620321293,5.087009417897586,-4.247486343179038,-1.5830630330611062,0.4901593022681502,0.156,0.158,-0.002,0.2220360331117452,0.47056689858436584,-0.06580859422683716,0.47056689858436584,0.4901593022681502,2162.0,0.12192251144324345,NAV2,False,True,True,True,,,0.02741136723350207,9.705451965332031
17.900512102999528,132.6335533060004,105.98779544209002,-1.4908142096258652,0.1350429822939951,5.8918120284047815,-3.623729862218363,-1.3224011787967198,0.49412553090203115,5.086875496979133,-4.257133959356091,-1.5846766797542076,0.48358454751987245,0.613,0.011,-0.003,0.6130986869990833,0.46994611620903015,-0.06466072797775269,0.46994611620903015,0.48358454751987245,2077.0,0.12136577468291393,NAV2,False,True,True,True,,,0.022028695653115077,9.705451965332031
17.940595242999734,132.68204209826104,105.98534981838789,-1.4953887310651703,0.1343474985415565,5.895855521994523,-3.639683832713503,-1.3244013863950024,0.49441405977055997,5.086551584786967,-4.276925889112202,-1.587979814555959,0.4772365084525699,0.613,0.011,-0.003,0.6130986869990833,0.46994611620903015,-0.06466072797775269,0.46994611620903015,0.4772365084525699,2105.0,0.12108740630274917,NAV2,False,True,True,True,,,0.017024522104503562,9.705451965332031
17.981442069999503,132.68204209826104,105.98534981838789,-1.4953887310651703,0.1343474985415565,5.899847672295789,-3.6556155111937514,-1.3268314593016666,0.49457745307700723,5.08597357630085,-4.305331968109614,-1.5927209397179265,0.4772365084525699,0.279,-0.012,-0.123,0.27925794527640574,0.46920475363731384,-0.0642542690038681,0.46994611620903015,0.4772365084525699,2105.0,0.12108740630274917,NAV2,False,True,True,True,,,0.014170649849805948,9.705451965332031
18.02152743299939,132.7324768924182,105.98133862057071,-1.4979958475150563,0.1348303464431253,5.907726779858969,-3.687551926614799,-1.3318977475105185,0.49499710990270485,5.085490293230912,-4.325131894430139,-1.5960259509382428,0.4901593022681502,0.279,-0.012,-0.123,0.27925794527640574,0.46920475363731384,-0.0642542690038681,0.46920475363731384,0.4901593022681502,2162.0,0.12108740630274917,NAV2,False,True,True,True,,,0.011374415401510926,9.705451965332031
